FIPS,StateFIPS,TotPop,NHisWhite,NHisBlack,NHisOther,HisWhite,HisBlack,HisOther
C01001,C01,34222,26997,6806,189,147,39,44
C01003,C01,98280,83800,12592,866,765,48,209
C01005,C01,25417,14054,11156,83,64,38,22
C01007,C01,16576,13033,3468,36,19,10,10
C01009,C01,39248,38275,519,168,122,2,162
C01011,C01,11042,3011,7948,18,25,38,2
C01013,C01,21892,13001,8783,43,48,15,2
C01015,C01,116034,92154,21476,1122,719,102,461
C01017,C01,36876,23510,13187,52,65,34,28
C01019,C01,19543,18118,1291,77,36,0,21
C01021,C01,32458,28577,3664,101,70,10,36
C01023,C01,16018,8889,7052,24,24,25,4
C01025,C01,27240,15481,11572,84,46,53,4
C01027,C01,13252,11021,2166,38,23,0,4
C01029,C01,12730,12072,587,33,12,0,26
C01031,C01,40240,32396,6903,470,306,14,151
C01033,C01,51666,42701,8545,233,119,23,45
C01035,C01,14054,8026,5888,58,37,37,8
C01037,C01,11063,7230,3776,39,12,6,0
C01039,C01,36478,31460,4770,118,91,7,32
C01041,C01,13635,10027,3542,36,21,2,7
C01043,C01,67613,66540,559,242,204,1,67
C01045,C01,49633,38690,8767,961,675,80,460
C01047,C01,48130,20054,27768,177,67,57,7
C01049,C01,54651,52854,1023,559,126,5,84
C01051,C01,49210,37687,10995,258,163,44,63
C01053,C01,35518,24227,10015,1107,99,31,39
C01055,C01,99840,85078,13782,649,196,17,118
C01057,C01,17962,15666,2190,28,51,0,27
C01059,C01,27814,26375,1247,91,88,2,11
C01061,C01,23647,20604,2817,105,78,7,36
C01063,C01,10153,1966,8160,3,0,21,3
C01065,C01,15498,6241,9172,28,14,42,1
C01067,C01,15374,9878,5368,36,40,27,25
C01069,C01,81331,61233,18900,734,280,54,130
C01071,C01,47796,44531,1957,1100,165,11,32
C01073,C01,651525,416458,228191,4131,1859,330,556
C01075,C01,15715,13748,1862,34,57,0,14
C01077,C01,79661,71310,7677,361,250,18,45
C01079,C01,31513,24483,4790,2138,80,8,14
C01081,C01,87146,64527,20359,1708,362,48,142
C01083,C01,54135,46468,7106,300,190,21,50
C01085,C01,12658,3177,9408,13,8,48,4
C01087,C01,24928,3429,21290,106,14,50,39
C01089,C01,238912,182334,47826,5768,1863,290,831
C01091,C01,23084,11279,11707,23,35,38,2
C01093,C01,29830,28708,965,92,51,2,12
C01095,C01,70832,69118,1086,339,243,1,45
C01097,C01,378643,252660,117509,5310,2193,363,608
C01099,C01,23968,14251,9354,269,69,18,7
C01101,C01,209085,118480,87050,1931,940,262,422
C01103,C01,100043,88726,10042,691,396,39,149
C01105,C01,12759,4496,8196,31,7,23,6
C01107,C01,20699,11973,8625,51,29,20,1
C01109,C01,27595,17760,9513,214,54,35,19
C01111,C01,19881,15104,4672,52,34,14,5
C01113,C01,46860,28311,18041,207,162,47,92
C01115,C01,50009,45038,4545,217,100,16,93
C01117,C01,99358,90292,7698,843,423,20,82
C01119,C01,16174,4745,11313,38,14,56,8
C01121,C01,74107,50696,22620,301,274,153,63
C01123,C01,38826,28461,10187,107,32,25,14
C01125,C01,150522,108801,39272,1501,597,105,246
C01127,C01,67670,62863,4397,186,179,8,37
C01129,C01,16694,10958,4612,1073,26,11,14
C01131,C01,13568,4185,9332,11,18,21,1
C01133,C01,22053,21871,57,66,54,0,5
C02013,C02,2464,801,15,1468,26,1,153
C02016,C02,9478,6130,635,1971,230,27,485
C02020,C02,226338,178168,14126,24786,4568,418,4272
C02050,C02,13656,2074,62,11440,31,0,49
C02060,C02,1410,881,38,458,13,0,20
C02070,C02,4012,1007,8,2948,12,0,37
C02090,C02,77720,62201,5395,7225,1550,158,1191
C02100,C02,2117,1793,1,296,9,0,18
C02110,C02,26751,21257,279,4466,313,13,423
C02122,C02,40802,36580,196,3300,509,7,210
C02130,C02,13828,11182,55,2306,134,0,151
C02150,C02,13309,9008,133,3505,281,2,380
C02164,C02,1668,379,0,1257,10,0,22
C02170,C02,39683,36452,294,2185,497,13,242
C02180,C02,8288,1987,9,6186,36,0,70
C02185,C02,5979,1248,37,4570,26,4,94
C02188,C02,6113,824,12,5241,17,0,19
C02201,C02,6278,3798,9,2350,61,0,60
C02220,C02,8588,6270,39,2070,89,0,120
C02231,C02,4385,2622,6,1690,27,1,39
C02240,C02,5913,4612,284,840,58,6,113
C02261,C02,9952,8096,55,1531,151,2,117
C02270,C02,5791,342,12,5420,4,0,13
C02280,C02,7042,5472,11,1440,72,0,47
C02290,C02,8478,3538,88,4770,46,0,36
C04001,C04,61591,11354,98,47540,1102,2,1495
C04003,C04,97624,61543,4815,2887,18181,263,9935
C04005,C04,96591,56938,1339,28618,4898,80,4718
C04007,C04,40216,27377,97,5256,3399,2,4085
C04009,C04,26554,15437,468,3967,5166,34,1482
C04011,C04,8008,4372,27,153,2463,1,992
C04012,C04,13844,8495,103,2107,1840,15,1284
C04013,C04,2122101,1637076,70843,68684,162344,3414,179740
C04015,C04,93497,85808,291,2479,3026,12,1881
C04017,C04,77658,31256,667,40083,2949,36,2667
C04019,C04,666880,454919,19455,29244,70057,1340,91865
C04021,C04,116379,68900,3469,9948,18319,179,15564
C04023,C04,29676,6168,56,231,15991,41,7189
C04025,C04,107714,98391,305,2119,4715,16,2168
C04027,C04,106895,58151,2776,2580,22551,280,20557
C05001,C05,21653,16779,4724,89,37,14,10
C05003,C05,24319,17406,6607,86,105,9,106
C05005,C05,31186,30827,4,184,137,0,34
C05007,C05,97499,94158,118,1864,810,6,543
C05009,C05,28297,27911,5,210,127,0,44
C05011,C05,11793,7936,3641,25,76,7,108
C05013,C05,5826,4346,1437,12,11,10,10
C05015,C05,18654,18261,4,195,155,2,37
C05017,C05,15713,6666,8811,77,26,48,85
C05019,C05,21437,16267,4898,145,77,15,35
C05021,C05,18107,17976,5,56,55,1,14
C05023,C05,19411,19213,6,87,79,0,26
C05025,C05,7781,6653,1053,28,28,6,13
C05027,C05,25691,16516,8982,116,48,10,19
C05029,C05,19151,16071,2860,101,68,16,35
C05031,C05,68956,64225,3764,581,224,14,148
C05033,C05,42493,40654,361,1019,320,13,126
C05035,C05,49939,27988,21334,281,164,67,105
C05037,C05,19225,14285,4751,80,58,31,20
C05039,C05,9614,5861,3694,27,12,4,16
C05041,C05,16798,9448,7110,88,52,29,71
C05043,C05,17369,12482,4743,52,48,11,33
C05045,C05,60006,54405,4771,489,239,7,95
C05047,C05,14897,14506,98,114,138,1,40
C05049,C05,10037,9943,9,57,26,1,1
C05051,C05,73397,66309,5594,717,461,10,306
C05053,C05,13948,13432,377,57,59,0,23
C05055,C05,31804,31498,20,119,129,0,38
C05057,C05,21621,14779,6450,101,109,14,168
C05059,C05,26115,22979,2861,160,87,4,24
C05061,C05,13569,10460,2906,109,44,13,37
C05063,C05,31192,30239,595,186,105,0,67
C05065,C05,11364,11212,11,70,54,0,17
C05067,C05,18944,16042,2748,88,39,11,16
C05069,C05,85487,47706,36771,583,172,106,149
C05071,C05,18221,17509,306,185,123,3,95
C05073,C05,9643,5867,3699,36,17,12,12
C05075,C05,17457,17168,88,141,55,0,5
C05077,C05,13053,5375,7447,57,74,40,60
C05079,C05,13690,8557,4896,85,54,39,59
C05081,C05,13966,10755,2924,127,65,7,88
C05083,C05,20557,19990,272,152,93,1,49
C05085,C05,39268,35216,3529,277,179,7,60
C05087,C05,11618,11354,3,150,81,0,30
C05089,C05,12001,11865,6,82,34,0,14
C05091,C05,38467,29265,8602,290,199,23,88
C05093,C05,57525,40303,15972,505,386,34,325
C05095,C05,11333,6855,4403,43,7,19,6
C05097,C05,7841,7673,8,104,45,0,11
C05099,C05,10101,6816,3190,31,40,6,18
C05101,C05,7666,7556,0,67,26,0,17
C05103,C05,30574,19617,10712,112,85,27,21
C05105,C05,7969,7748,119,55,32,0,15
C05107,C05,28838,12793,15705,103,122,48,67
C05109,C05,10086,9598,374,58,23,4,29
C05111,C05,24664,22700,1770,70,97,3,24
C05113,C05,17347,16832,0,214,203,0,98
C05115,C05,45883,43830,1119,511,296,10,117
C05117,C05,9518,8151,1294,35,19,0,19
C05119,C05,349660,250549,91976,3936,2005,224,970
C05121,C05,16558,16265,145,73,57,1,17
C05123,C05,28497,14651,13480,164,71,41,90
C05125,C05,64183,61937,1346,522,278,2,98
C05127,C05,10205,10003,1,159,32,0,10
C05129,C05,7841,7726,2,81,24,0,8
C05131,C05,99590,87989,5617,4622,730,49,583
C05133,C05,13637,11999,784,222,82,3,547
C05135,C05,14109,13870,64,118,38,2,17
C05137,C05,9775,9652,8,73,35,0,7
C05139,C05,46719,32296,14038,163,118,23,81
C05141,C05,14008,13774,41,95,71,0,27
C05143,C05,113409,107724,1656,2503,1019,20,487
C05145,C05,54676,52260,1694,350,249,9,114
C05147,C05,9520,6496,2982,25,6,9,2
C05149,C05,17759,17059,367,156,113,4,60
C06001,C06,1279182,680017,222873,194487,81798,6376,93631
C06003,C06,1113,772,5,262,34,1,39
C06005,C06,30039,25129,1670,720,1765,12,743
C06007,C06,182120,158242,2238,8034,6958,123,6525
C06009,C06,31998,29288,180,816,1321,4,389
C06011,C06,16275,10105,81,665,2337,15,3072
C06013,C06,803732,560146,72799,79505,50857,1778,38647
C06015,C06,23460,18302,853,1891,1908,5,501
C06017,C06,125995,113053,579,3586,6065,27,2685
C06019,C06,667490,338595,31311,60950,84244,2112,150278
C06021,C06,24798,18461,131,1248,2715,6,2237
C06023,C06,119118,104671,934,8524,3210,26,1753
C06025,C06,109303,31742,2272,3354,41873,350,29712
C06027,C06,18281,14819,71,1855,958,8,570
C06029,C06,543477,340892,28851,21739,37587,1280,113128
C06031,C06,101469,54426,7747,4745,10740,496,23315
C06033,C06,50631,44603,924,1471,1883,9,1741
C06035,C06,27598,21920,1699,1096,2295,20,568
C06037,C06,8863164,3618850,934776,958296,1416253,58198,1876791
C06039,C06,88090,52974,2294,2422,10395,200,19805
C06041,C06,230096,194665,7529,9972,9463,643,7824
C06043,C06,14302,12771,120,714,450,2,245
C06045,C06,80345,67775,482,3840,4251,25,3972
C06047,C06,178403,96701,7889,15706,23579,634,33894
C06049,C06,9678,8479,78,420,324,0,377
C06051,C06,9956,8329,41,460,900,2,224
C06053,C06,355660,186166,21506,28418,40842,1343,77385
C06055,C06,110765,89453,1167,4204,9016,37,6888
C06057,C06,78510,73697,172,1372,2674,8,587
C06059,C06,2410556,1554501,39159,252068,340092,3522,221214
C06061,C06,172796,152601,987,5337,9347,46,4478
C06063,C06,19739,17996,151,685,594,1,312
C06065,C06,1170413,754140,59966,48793,140627,3625,163262
C06067,C06,1041219,721932,93970,103773,60394,3159,57991
C06069,C06,36697,18793,167,937,6824,37,9939
C06071,C06,1418380,862113,109162,68523,173215,5772,199595
C06073,C06,2498016,1633281,149898,204056,238975,9408,262398
C06075,C06,723959,337118,76343,209781,50665,2696,47356
C06077,C06,480628,282766,24791,60398,70403,2303,39967
C06079,C06,217162,176246,4325,7668,17373,1402,10148
C06081,C06,649623,392131,34000,108865,74754,1283,38590
C06083,C06,369608,244309,9379,17721,41152,1023,56024
C06085,C06,1497577,869874,52583,260556,162316,3628,148620
C06087,C06,229734,171203,2330,9404,21646,302,24849
C06089,C06,147036,134001,1045,6338,3976,36,1640
C06091,C06,3318,3060,6,68,115,0,69
C06093,C06,43531,38246,682,2054,1859,9,681
C06095,C06,340421,207476,43858,43570,19816,1981,23720
C06097,C06,388222,327429,5268,14302,24221,279,16723
C06099,C06,370522,261323,6109,22193,35992,341,44564
C06101,C06,64415,46140,987,6696,3381,54,7157
C06103,C06,49625,43049,246,1206,2544,10,2570
C06105,C06,13063,11881,53,698,252,0,179
C06107,C06,311921,170283,4305,16440,34552,313,86028
C06109,C06,48456,41887,1529,1314,1905,22,1799
C06111,C06,669016,440555,14559,36950,88611,1070,87271
C06113,C06,141092,96825,2975,13110,10288,197,17697
C06115,C06,58228,42924,2341,6235,2617,96,4015
C08001,C08,265038,198710,8445,8704,31098,388,17693
C08003,C08,13617,8068,61,234,3151,8,2095
C08005,C08,391511,334225,22653,12890,15089,626,6028
C08007,C08,5345,3976,5,120,688,2,554
C08009,C08,4556,4229,1,71,91,0,164
C08011,C08,5048,3588,32,57,1000,1,370
C08013,C08,225339,201617,1879,6648,8573,80,6542
C08015,C08,12684,11148,198,138,952,4,244
C08017,C08,2397,2307,0,7,51,0,32
C08019,C08,7619,7280,17,68,164,3,87
C08021,C08,7453,2933,9,48,3454,3,1006
C08023,C08,3190,688,7,43,1976,1,475
C08025,C08,3946,2694,254,86,768,8,136
C08027,C08,1926,1842,0,29,44,0,11
C08029,C08,20980,18836,59,170,1308,1,606
C08031,C08,467610,287162,57793,15273,50036,2253,55093
C08033,C08,1504,1416,0,40,29,0,19
C08035,C08,60391,57346,391,744,1336,16,558
C08037,C08,21928,18762,40,209,1316,6,1595
C08039,C08,9646,9289,46,100,130,1,80
C08041,C08,397014,322461,27599,12481,18939,994,14540
C08043,C08,32273,28292,834,388,2263,14,482
C08045,C08,29974,27908,77,316,1240,5,428
C08047,C08,3070,2900,14,47,93,0,16
C08049,C08,7966,7641,16,66,121,0,122
C08051,C08,10273,9746,59,102,263,4,99
C08053,C08,467,460,1,2,3,0,1
C08055,C08,6009,3498,20,63,2071,7,350
C08057,C08,1605,1460,0,27,20,0,98
C08059,C08,438430,394946,3014,9679,19596,217,10978
C08061,C08,1688,1621,0,12,27,0,28
C08063,C08,7140,6636,8,28,158,1,309
C08065,C08,6007,4497,11,65,986,2,446
C08067,C08,32284,27091,58,1549,1931,13,1642
C08069,C08,186136,169213,1043,3653,6758,71,5398
C08071,C08,13765,7507,31,147,4417,3,1660
C08073,C08,4529,4413,4,37,31,0,44
C08075,C08,17567,16073,19,82,769,1,623
C08077,C08,93145,84035,368,1179,4142,23,3398
C08079,C08,558,528,0,3,19,0,8
C08081,C08,11357,10524,10,125,399,1,298
C08083,C08,18672,14936,12,2112,1007,0,605
C08085,C08,24423,21447,61,179,1960,7,769
C08087,C08,21939,17667,45,193,1653,16,2365
C08089,C08,20185,12698,109,274,4029,9,3066
C08091,C08,2295,2187,0,5,62,0,41
C08093,C08,7174,6863,39,66,168,1,37
C08095,C08,4189,4006,0,13,168,0,2
C08097,C08,12661,11955,38,193,373,3,99
C08099,C08,13347,10071,38,136,1326,5,1771
C08101,C08,123051,75382,2029,1550,28922,224,14944
C08103,C08,5972,5672,9,55,135,0,101
C08105,C08,10770,6352,5,71,3323,2,1017
C08107,C08,14088,13630,8,97,283,0,70
C08109,C08,4619,2371,11,131,1328,0,778
C08111,C08,745,620,1,6,91,0,27
C08113,C08,3653,3523,5,23,86,0,16
C08115,C08,2690,2411,5,44,203,5,22
C08117,C08,12881,12359,31,168,215,1,107
C08119,C08,12468,11980,23,143,209,1,112
C08121,C08,4812,4652,1,20,69,0,70
C08123,C08,131821,101977,509,1833,15270,58,12174
C08125,C08,8954,8620,2,48,149,0,135
C09001,C09,827645,660337,77472,19018,40013,4047,26758
C09003,C09,851783,683004,81884,15320,28311,5371,37893
C09005,C09,174092,168876,1561,1748,1485,70,352
C09007,C09,143196,132667,5846,1802,1822,156,903
C09009,C09,804219,661754,78935,12527,25737,3076,22190
C09011,C09,254957,230179,11587,4736,4095,536,3824
C09013,C09,128699,121269,2533,2681,1516,92,608
C09015,C09,102525,96098,1022,1144,2190,81,1990
C10001,C10,110993,86071,20316,2066,1229,315,996
C10003,C10,441946,350312,71895,7935,5087,939,5778
C10005,C10,113229,91709,18800,1244,686,195,595
C11001,C11,606900,166131,395213,12846,13536,4391,14783
C12001,C12,181596,135690,34116,5011,5097,311,1371
C12003,C12,18486,15444,2738,104,135,30,35
C12005,C12,126994,108004,13612,3122,1566,101,589
C12007,C12,22515,17406,4505,178,286,50,90
C12009,C12,398978,349276,30824,6617,9115,593,2553
C12011,C12,1255488,940345,186670,20034,85238,6777,16424
C12013,C12,11011,9094,1654,145,70,4,44
C12015,C12,110975,103437,3857,917,1964,386,414
C12017,C12,93515,88963,2170,680,1448,36,218
C12019,C12,105986,95794,5405,2023,1897,108,759
C12021,C12,152099,124700,5770,895,14373,1216,5145
C12023,C12,42613,33978,7644,372,445,34,140
C12025,C12,1937094,585607,369621,28459,827408,28372,97627
C12027,C12,23865,17724,3672,187,1417,54,811
C12029,C12,10585,9524,918,47,70,2,24
C12031,C12,672971,478981,162420,14237,10623,1482,5228
C12033,C12,262798,198083,52333,7369,3152,285,1576
C12035,C12,28701,24841,2270,330,990,96,174
C12037,C12,8967,7727,1107,68,49,5,11
C12039,C12,41105,16357,23620,164,329,80,555
C12041,C12,9667,8656,811,50,105,14,31
C12043,C12,7591,5634,916,436,353,6,246
C12045,C12,11504,9193,2149,76,60,13,13
C12047,C12,10930,6356,4219,60,92,37,166
C12049,C12,19499,13804,1008,125,2578,26,1958
C12051,C12,25773,15184,4185,647,3408,126,2223
C12053,C12,101115,93701,3812,640,2407,83,472
C12055,C12,68432,57592,6721,619,2143,127,1230
C12057,C12,834054,606466,107111,13569,83886,3172,19850
C12059,C12,15778,14619,768,215,121,14,41
C12061,C12,90208,79349,7552,603,2069,108,527
C12063,C12,41375,29376,10721,304,709,124,141
C12065,C12,11296,6233,4883,50,101,14,15
C12067,C12,5578,4554,772,26,75,13,138
C12069,C12,152104,133071,13774,954,2548,417,1340
C12071,C12,335113,296005,21515,2499,10195,669,4230
C12073,C12,192493,138396,46191,3191,3316,336,1063
C12075,C12,25923,22014,3204,215,332,7,151
C12077,C12,5569,4465,965,31,43,17,48
C12079,C12,16569,9409,6867,62,136,48,47
C12081,C12,211707,184568,15971,1744,5760,429,3235
C12083,C12,194833,162861,24542,1570,4233,302,1325
C12085,C12,100900,89596,5887,689,2523,156,2049
C12087,C12,78024,63686,3896,862,8154,307,1119
C12089,C12,43941,38697,4509,255,372,13,95
C12091,C12,143776,122233,12835,4281,2958,172,1297
C12093,C12,29627,23940,1875,319,1044,23,2426
C12095,C12,677491,496544,100185,15816,42517,2907,19522
C12097,C12,107728,87439,5452,1971,8792,450,3624
C12099,C12,863518,683402,103309,10194,48829,4396,13388
C12101,C12,281131,264308,5303,2211,6350,154,2805
C12103,C12,851659,754802,65046,11742,15572,822,3675
C12105,C12,405382,331732,53500,3550,10220,885,5495
C12107,C12,65070,51150,11874,358,869,66,753
C12109,C12,83829,73992,7261,674,1555,67,280
C12111,C12,150171,118646,24200,1373,3513,466,1973
C12113,C12,81608,75519,3231,1635,866,44,313
C12115,C12,277776,258095,11855,1944,4741,218,923
C12117,C12,287529,239612,23801,5510,14009,513,4084
C12119,C12,31577,25526,5064,225,562,38,162
C12121,C12,26780,22277,3915,171,247,34,136
C12123,C12,17111,13682,3068,187,109,15,50
C12125,C12,10252,7499,2320,98,198,59,78
C12127,C12,370712,319259,32985,3628,9271,470,5099
C12129,C12,14202,12162,1830,127,64,7,12
C12131,C12,27760,25114,1870,532,186,15,43
C12133,C12,16919,13933,2449,357,96,10,74
C13001,C13,15744,12286,3266,54,70,2,66
C13003,C13,6213,4400,1654,5,27,4,123
C13005,C13,9566,7992,1469,22,38,11,34
C13007,C13,3615,1745,1846,3,2,15,4
C13009,C13,39530,22209,16668,304,242,38,69
C13011,C13,10308,9844,364,48,30,0,22
C13013,C13,29721,25834,3348,286,128,6,119
C13015,C13,55911,50116,5013,261,297,13,211
C13017,C13,16245,11047,5068,52,51,20,7
C13019,C13,14153,12178,1642,56,229,6,42
C13021,C13,149967,85744,62330,977,508,196,212
C13023,C13,10430,7975,2328,84,25,4,14
C13025,C13,11077,10408,596,37,30,0,6
C13027,C13,15398,8725,6365,55,168,25,60
C13029,C13,15438,12932,2289,81,86,4,46
C13031,C13,43125,31281,11195,289,183,31,146
C13033,C13,20579,9719,10750,43,43,6,18
C13035,C13,15326,9711,5421,81,59,17,37
C13037,C13,5013,2047,2945,13,0,8,0
C13039,C13,30167,22945,6056,544,339,23,260
C13043,C13,7744,5187,2403,16,51,2,85
