StateFIPS,StTotPop,StNHisWhite,StNHisBlack,StHisWhite,StHisBlack
C01,5024279,3171351,1288159,49101,8003
C02,733391,421758,20731,13634,1167
C04,7151502,3816547,317161,505790,21989
C05,3011524,2063550,449884,50962,3899
C06,39538223,13714587,2119286,2581535,117758
C08,5773714,3760663,221310,322264,13518
C09,3605944,2279232,360937,115896,27738
C10,989948,579851,212960,17912,5939
C11,689545,261771,282066,11423,3744
C12,21538187,11100503,3127052,1322458,119329
C13,10711908,5362156,3278119,193327,42394
C15,1455271,314365,21877,18896,1540
C16,1839106,1450523,14785,59837,941
C17,12812508,7472751,1775612,395476,32659
C18,6785528,5121004,637500,120791,11013
C19,3190369,2638201,129321,56320,2651
C20,2937880,2122575,163352,99887,5457
C21,4505836,3664764,357764,46490,4653
C22,4657757,2596702,1452420,60950,11603
C23,1362359,1228264,25115,8777,637
C24,6177224,2913782,1795027,94092,25445
C25,7029917,4748897,457055,147140,36974
C26,10077331,7295651,1358458,149323,18121
C27,5706494,4353880,392850,69266,5584
C28,2961279,1639077,1079001,19816,5480
C29,6154913,4663907,692774,76428,7066
C30,1084225,901318,5077,15206,407
C31,1961504,1484687,94405,53365,2130
C32,3104614,1425952,291960,162511,12779
C33,1377529,1200649,18655,15554,1472
C34,9288994,4816381,1154142,295899,65628
C35,2117522,772952,38330,305985,7574
C36,20201249,10598907,2759022,544442,227150
C37,10439388,6312148,2107526,176311,32691
C38,779094,636160,26152,9778,631
C39,11799448,8954135,1457180,126553,21601
C40,3959353,2407188,283242,107697,6719
C41,4237256,3036158,78658,132938,3997
C42,13002700,9553417,1368978,197270,54191
C44,1097379,754050,55386,28870,6782
C45,5118425,3178552,1269031,64890,11500
C46,886667,705583,17441,9753,401
C47,6910840,4900246,1083772,90692,9176
C48,29145505,11584597,3444712,3024768,108285
C49,3271616,2465355,37192,108058,2866
C50,643077,573201,8649,4550,385
C51,8631393,5058363,1578090,150493,29491
C53,7705281,4918820,296170,212100,11395
C54,1793716,1598834,64749,11915,1064
C55,5893718,4634018,366508,103527,9748
C56,576851,469664,4735,18710,497
C72,3285874,24548,4286,536044,224425
